o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
1,107,FP,5.47,1914-04-16,gA,"vFK ",3,ct
2,456,Ni,521.95,1991-05-23,Fl,YKwgMwso,2,rp
3,240,Mc,230.34,1998-11-15,fD,RRBuiRzbo,4,PB
4,247,kk,618.56,1968-12-04,zc,OTLpgA,3,aL
5,973,gc,892.32,1975-07-08,pM,jzBduZ,3,Ai
6,826,og,736.95,1911-04-15,uQ,fNZlgdX,3,bP
7,857,Ee,687.09,1922-05-05,BJ,vrvm,5,fn
8,774,tO,673.5,2012-08-28,yN,dOxLKv,1,vT
9,329,Rn,139.25,1923-01-15,Eh,Ez,3,Lh
10,708,mv,463.55,1990-09-08,te,TT uwXqN,3,NN
11,647,Ww,445.94,1939-09-18,CJ,xVNTEmpMjb,2,iy
12,769,EK,34.24,1942-07-11,pD,vWjrj,4,kv
13,860,OQ,673.99,1995-01-04,MH,wy,4,ab
14,278,Rv,210.98,1948-02-03,VY,ov,5,Rf
15,613,em,505.4,2016-12-03,AR,TFvactsly,4,BY
16,238,OS,800.33,1952-05-08,uE,cYbfsfCIxd,4,rF
17,276,HU,788.8,1925-03-20,Xp,Yh,4,fK
18,614,"X ",461.76,1904-10-09,lx,OCtkJ,4,MJ
19,427,ZL,654.08,1913-02-06,cx,gQ,4,YW
20,450,PA,905.18,1925-06-17,Qn,eG,3,Zw
21,763,wk,311.52,1996-06-06,qA,DFVgWe,1,OU
22,767,FT,614.34,2012-10-02,pv,zVdjgedey,2,Zv
23,109,XL,41.93,1923-09-19,qp,VGbghsvGI,4,sW
24,292,qj,342.09,1972-02-13,AY,zZGry,1,Mm
25,678,tO,950,1977-12-06,UM,hSHoHBz,4,gN
26,766,fC,365.46,2001-01-20,mt,liDT,4,Fq
27,424,jr,679.54,1947-05-08,YH,lVD,3,tN
28,54,wU,806.92,1915-11-28,nT,ClPUS,5,oA
29,236,oH,609.75,2007-11-27,MF,wMOnc,1,cn
30,564,zT,190.91,2001-08-21,dQ,SGx,5,TP
31,988,ZM,568.67,1992-01-12,UI,nzl,2," N"
32,814,nG,362.96,1942-02-28,WF,Ja XEvb,5,Wz
33,547,ka,932.28,1991-12-26,li,AZkCN,2,XP
34,243,MO,602.94,1920-11-07,SH,pXmzjVcWEb,3,de
35,577,PU,445.07,1904-10-13,Cj,RYXWC,4,Dl
36,439,"a ",737.29,1962-11-11,nW,mD,1,SS
37,247,Ne,398.34,1905-02-15,Wo,PpTC,4,Bz
38,208,ZJ,188.55,1901-04-14,In,lryw,5,jY
39,203,oj,43,1982-11-22,Br,CdhZqkDVFp,3,ov
40,152,En,99.3,2012-12-04,vz,oAYviWxkq,5,ec
41,779,Af,942.38,1970-07-06,tc,oIArWv,2," s"
42,957,YU,110.97,1903-07-04,hr,Yi bnlGRS,2,VT
43,776,kM,907.34,1984-07-07,IL,fCjqpgb,4,Qs
44,405,VG,428.14,1934-08-05,QX,S ZJYhjDC,4,dq
45,892,vi,156.87,1902-12-18,lK,AbYI,5,VF
46,279,bS,998.47,1913-10-13,tS,ctceNzRNQ,3,wM
47,244,VI,28.93,1998-09-25,cn,APecape,5,"W "
48,905,yO,824.03,1938-08-08,Uf,TnAz,3,Ay
49,696,do,979.95,1945-04-20,JB,VwjiEJhoJB,5,sm
50,138,zQ,518.61,1957-09-02,fa,yedyHw,5,BL
51,715,hf,223.26,1980-10-17,mE,GiF,5,OO
52,980,wl,958.15,2004-04-21,xT,ZLT,3,yB
53,227,PZ,594.96,1904-02-17,DS,YyyItRUht,4,jH
54,438,ig,677.56,1980-03-17,av,RlwcXEudnX,3,it
55,992,AQ,178.71,1961-10-03,AY,rsCIenmQVU,1,SU
56,438,mB,736.45,1907-09-24,CT,zXfI,1,ow
57,976,gq,24.11,1985-09-05,ZL,pPozexpO,5,Hx
58,781," n",927.69,1948-05-20,LY,QEsAmBgt,1,GW
59,365,Pj,866.6,2010-04-27,hh,bbP,1,"h "
60,53,GH,784.74,1942-10-14,Mg,wVsyqEkTh,1,Ba
61,709,ul,384.05,1951-02-02,Ww,vy,5,dx
62,926,bp,17.88,1960-01-01,lY,TTde,1,hd
63,373,DW,734.26,1913-03-29," m",UVqfNaSxJB,1,os
64,326,hf,517.42,1926-09-27,zw,Molg,1,aR
65,843,ql,476.5,1966-03-02,Oo,XIWdbPomNG,5,oE
66,96,GT,257.72,1984-11-01,xf,UAYXSqAXJy,5,OQ
67,979,xd,757.16,1959-09-24,HC,hxOrmh,5,vX
68,285,xQ,953.25,1921-02-19,Ka,pbOZANDRU,5,tC
69,479,Rg,388.77,1992-05-30,xb,RkbP,2,Rs
70,707,vO,55.61,1952-01-01,iR,pheSOJZDqe,4,JR
71,43,uX,698.1,1995-04-26,RL,XZZnlSOwMh,4,Fd
72,178,pn,952.84,1923-05-05,Rh,nsPzs,3,lg
73,947,DT,567.04,1961-02-26,EO,AAKaMfL,1,PJ
74,892,UM,760.01,1928-05-18,Qw,uqsG,3,Iq
75,625,yl,980.45,1933-08-07,MJ,GoazJxyWD,2,jB
76,644,nx,755.66,1902-01-22,Sw,xCypIpgz,2,ka
77,569,sf,229.64,1958-05-31,EE,qyUkAs,5,xk
78,948,jB,445.33,1930-05-04,WM,jQribfh,4,oL
79,983,Hw,44.07,1948-01-28,bO,jTzcOeq,2,Hl
80,878,Mx,385.88,1970-01-22,gZ,xOM,1,rn
81,176,vW,511.26,1925-04-28,VW,woAOmqN,2,jH
82,829,Hk,813.91,1927-06-09,DQ,yjX MQMB,1,KQ
83,958," F",306.87,1969-07-17,ho,EVtcECtfl,4,CR
84,809,Ej,343.78,2017-03-10,vQ,Dv,2," q"
85,963,gg,725.84,1988-09-04,BO,JM,2,Cz
86,404,eu,301.3,1925-09-05,DP,FETlILnIr,2,kf
87,886,zq,616.4,1922-12-25,co,LqxWy,5,Ds
88,229,PN,635.87,2015-09-07,Eg,lTspk,2,Jy
89,327,Jj,290.45,1947-12-26,Bl,fww,3,dF
90,407,Mh,52.72,1927-05-07," B",wzx,4,Ib
91,756,VY,971.19,1994-05-25,pF,XrUV,2,Cy
92,861,bu,592.79,1949-02-25,UA,dU,3,ES
93,68,yM,582.87,1971-04-24," c",eZX,1,UR
94,423,CO,822.61,1969-11-13,dO,WN,1,it
95,632,Mk,571.03,1909-04-02,Ow,CmTulu da,1,sz
96,854,UG,295.07,1930-01-19,rZ,SKXpy,3,ob
97,792,mA,642.59,2013-07-03,bh,KWlrJ,4,fB
98,365,"X ",740.13,1922-02-26,GH,DDhzBMx,4,fu
99,417,pq,118.36,1925-04-12,"d ",MdD,1,Rg
100,468,IO,82.61,2004-12-01,Ng,RY,5,ay
101,488,UK,542.07,1972-12-08,rO,gl OvA,3,UP
102,958,Fm,641.12,2011-12-16,Cs,QM,4,Ia
103,751,Bj,918.63,1970-11-30,Zs,gcHTAU,1,Af
104,878,XC,787.67,1949-03-10,Ik,JflMYBZ zX,2,XU
105,26,Zr,191.01,2010-05-03,Aw,"cP ",3,xV
106,310," C",502.09,1918-12-14,Dm,oTV,5,ix
107,543,Yr,461.21,1999-01-05,ap,WLQMWiEB,3,sI
108,641,et,592.23,1999-03-14,RB,GTXULBHvi,5,Em
109,756,Oi,246.47,1997-09-24,AN,TZOWsZkIB,4,da
110,728,qx,843.63,2003-08-10,CT,OndqPSkLP,1,cd
111,752,KY,558.42,1984-09-04,sF,lrVhFa,3,SK
112,688,ug,224.07,1937-03-25,hA,PrqpvYDNKN,4,LO
113,384,Vx,998.56,1905-02-26,tY,wB,1,zo
114,520,ni,618.93,2013-05-04,yV,JObdVR,5,Qf
115,334,fx,314.09,1949-10-26," Z",qCGOXiD,5,tO
116,15,Re,923.1,2006-05-27,UG,BNDhPoML,3,CG
117,76,kt,143.04,2003-07-14,"R ",lMpvJXjC,4,cL
118,905,QX,255.34,1990-10-28,tE,yvDyQyUGlJ,4,zY
119,355,MT,616.34,1997-11-07,Bz,MKDcic,4,To
120,337,Qy,838.6,1980-04-30,RI,TEKsfkw,2,Rc
121,135,ez,325.71,1919-08-09,Tb,QgLm,2,Us
122,408,mY,247.84,1997-12-31,nF,AooZvgH,5,jY
123,468,yi,559.97,1994-01-15,jM,lmdG,5,vh
124,933,wX,263.46,1909-12-05,ms,auFtsBYumH,4,oC
125,566," P",903.23,1958-09-07,XR,lqRi,5,rV
126,729,yM,735.87,1929-05-31,Kg,bCN,1,Ce
127,348,Np,784.19,2011-08-23,nf,PSLOVpqa,1,nj
128,391,oK,793.52,1960-04-12,si,UJJXsKVdR,4,CA
129,520,Xq,861.4,2016-02-26,qm,xhQEV,2,Iz
130,549,il,469.96,1953-12-17,Kj,LbGDjYMx,4,CS
131,790,uC,694.72,2004-03-15,ym,Szve,4,vB
132,64,vn,79.38,1987-07-14,MJ,ILCCyNTbr,1,zR
133,654,dc,585.68,1925-06-20,DA,hzWN,3,fi
134,201,JB,117.31,2013-06-15,mu,yWc,1,tB
135,417,OX,178.68,1918-05-04,Nf,ULe,5,Kf
136,223,kQ,172.52,1905-03-20,qs,QDbrEckoCP,2,Fw
137,938,yt,495.7,1936-01-18,Df,XnXefgs,1,Aj
138,231,rl,443.05,2014-09-01,vf,vXqyfTmhS,4,ls
139,797,jy,355.79,1954-08-10,wM,vjAjjy,4,BS
140,593,nC,213.91,1966-05-18,ui,OkaukkVp,1,yD
141,952,cP,353.45,1906-10-11,Ql,abm,3,Uy
142,185,TF,573.69,1988-05-11,zU,mmOt,2,Yj
143,517,JK,303.94,1957-08-27,mA,scMydwXuQz,4,rB
144,551,oc,146.08,1939-11-05,IA,uxihMheO,4,Vl
145,690,qu,399.74,1972-05-01,KY,ZkA,4,BW
146,223,"T ",959.8,2001-10-28,gR,vo,4,nN
147,807,FP,415.49,1969-10-27,Np,lj,2,VW
148,938,qb,23.94,1990-01-08,jq,fLSKmJpi,3,TS
149,452,gy,776.69,1918-06-27,kO,JDb,2,oY
150,950,Bc,767.27,1973-07-14,YM,pDiacn,2,PO
151,341,CJ,773.69,1925-09-12,cl,VejakK,5,OP
152,227,bp,680.9,1963-04-24,Zf,LTNH,3,Nb
153,611,th,937.61,1949-06-23,gQ,cepCuFZm,4,ZU
154,407,uM,767.55,1953-09-20,aG,Fa,2,rp
155,47,wY,811.12,1999-07-03,iH,oHx,5,qL
156,141,Ce,321.51,1926-10-29,ZR,eOg,2,pA
157,681,xu,822.45,1970-06-27,LU,mY,3,hT
158,583,sD,448.44,1921-01-02,Tl,PwBB,5,If
159,524,fV,866.36,2010-08-14,RT,asGoVz,3,hc
160,392,ba,380.88,1947-11-20,Nn,Xu,5,el
161,397,It,311.44,1903-10-20,bf,ERB,4,NK
162,717,mt,881.22,1976-12-12,mi,LiGhbKl,5,wN
163,760,Vl,23.47,1902-10-18,LR,oKgf,4,Tm
164,217,oy,820.84,1945-07-19," G",ouSwGsIyK,3,rN
165,835,El,172.56,1937-04-14,DC,PNlJdqRqM,1,Yi
166,593,zx,273.7,1987-04-14,NV,ZwvdpY,5,iF
167,640,zq,872.63,1942-11-20,pX,OaGmWqTte,3,HC
168,566,vG,114.1,1910-10-09,aA,uCS,5,Uf
169,306,Ad,727.44,1955-05-15,OZ,WhNxapjCN,3,ZW
170,377,ca,291.15,1920-06-15,Zo,KlotLsITL,3,rA
171,551,FR,53.95,1947-07-23,YR,VXX,2,gl
172,142,wF,819.83,1951-02-07,Vc,QYiCOY,3,iy
173,502,ZX,752.39,1939-12-14,ib,ojpeCyDlQ,4,Uf
174,736,og,437.65,2018-03-26,cK,Sa,1,SS
175,736,RG,769.24,1990-11-21,kS,pGm,3,Nm
176,480,oo,382.99,1966-07-04," l",CzF,1,wi
177,664,Lg,910.25,1901-11-12,Wu,dXz,1,zJ
178,890,ph,665.08,2009-09-25,FY,UdlztsPU,5,tJ
179,983,ql,797.6,1905-02-19,cr,YTBvjMd,1,UQ
180,192,yo,630.63,1934-01-24,aR,pAXM,1,ky
181,463,kd,337.83,1989-03-22,Am,DvR,3,hM
182,155,Bw,425.81,1902-08-24,CN,AYymgNLO,3,ga
183,244,eb,524.74,1969-09-21,RN,yHRK,1,pX
184,599,Sz,935.64,1935-12-07," J",XN,2,gi
185,66,LH,82.15,1994-01-27,yS,JemCtryp,1,ao
186,120,Qt,489.43,1985-10-26,By,CUdW,5,sR
187,648,gi,295.88,1909-12-28,tR,mfy,5,BJ
188,942,Ml,810.79,1965-03-08,CG,Fmz,4,VC
189,89,Nb,127.21,1949-09-13,Cl,ZsbK,1,Ft
190,934,EW,644.87,1927-01-20,Xc,nrmE,4,hf
191,507,gZ,853.68,1975-07-25,Wd,RhWinXzA,3,ui
192,297,Ui,607.01,2004-07-10,mu,hyZlwAqvAN,1,qK
193,355,GG,508.48,1955-04-08,jG,NDxQd,1,Yp
194,704,wy,845.42,1948-04-24,xP,AcnwlXMGOn,2,WA
195,779,Bw,186.98,1990-06-03,iV,hpAepv,3,mM
196,830,HI,928.29,1936-11-29,Jq,jIAQCTZv,2,rP
197,216,fW,559.77,1998-09-18,"O ",fK,2,DP
198,839,Qr,47.96,1924-04-15,Oi,oAeB,4,pV
199,489,JP,401.24,1957-03-17,eD,RIbIJrs,2,nX
200,840,wn,349.31,1941-07-14,xx,cJ,4,uG
201,263,KY,65.74,2015-07-30,PZ,xAdeDctj,1,uo
202,192,nb,872.84,2000-09-05,CO,SvByiQ,1,DS
203,391,jK,16.72,2007-12-18,tN,WH,3,Ro
204,646,jn,981.75,2002-05-04,rd,gKF,2,FE
205,150,Xe,609.24,1966-11-13,KK,vaBL,2,Lk
206,888,to,584.34,1954-05-29,wM,ZWvq,3,zN
207,374,ug,206.71,1962-10-23,pl,VPw P,2,py
208,222,pj,614.44,1952-02-21,UY,hfEGxpwo,4,ut
209,877,Ve,196.86,1934-10-03,sA,gyyYF,3,fS
210,330,PO,539.64,1995-12-30,QF,RiE,2,pO
211,99,YP,442.09,1973-02-01,PP,AWG,5,ys
212,345,tK,491.65,1914-04-28,AH,TB s,1,jH
213,424,fb,741.56,1994-08-30,fE,RDidvY,4,vP
214,446," t",552.45,1974-03-01,Tv,cF eGGu,5,sc
215,213,TN,53.44,1969-08-15,yV,olWkffZH,3,nH
216,36,mU,331.48,1983-04-21,Ig,ORE,4,qD
217,341," h",885.91,1983-05-29,Jy,MJ,3,Qe
218,788,FX,986.79,1910-07-11,eh,aGuWVS,5,pw
219,427,qI,474.81,1943-07-08,qv,TWLY,4,qP
220,749,JY,286.39,1984-07-18,tp,eL G,5,Bk
221,27,GG,532.44,1940-12-14,De,NbjceXt,1," A"
222,442,Ew,377.97,1972-02-03,fE,jSbCAu yoe,2,ub
223,444,nr,261.93,1979-12-01,Gg," hw btH",4,Ha
224,911,Tc,786.49,1930-01-18,JG,DcM,3,fC
225,796,iJ,161.97,1947-10-27,sX,RRHAtfeAh,1,JM
226,87,Qc,488.44,1944-01-09,NW,uhpqSNupAJ,3,GH
227,150,MA,900.63,1914-05-16,rM,AMwmkT,1,Sj
228,887,hs,61.53,2010-04-08,rd,RfouiT,5,EF
229,670,Ok,389.95,2019-05-19,qx,UGnqwc,3,xX
230,285,eJ,823.6,1970-10-02,PL,GEwWquXY,3,HO
231,792,zZ,63.45,1960-10-22,RJ,uZ,2,jJ
232,381,xE,949.13,2019-12-26,Zx,eFhC,4,kV
233,997,Qh,36.06,1995-08-16,Zz,fw,5,Pt
234,346,NO,269.67,1987-07-31,ys,J nW,3,au
235,274,YD,983.54,2000-09-17,XB,OvaF,3,oj
236,159,xu,29.26,1965-02-04,WY,phjDcWXka,5,WK
237,432,dG,374.11,1955-10-27,Ut,QXG c,3,rM
238,360,HE,897.84,1907-10-22,Fl,OSUAQwTc,4,SC
239,976,"N ",980.17,1972-04-27,"U ",BZ,3,JX
240,473,Cg,832.06,1909-07-25,rC,WOzm,5,YN
241,607,fv,987.77,1991-09-21,Ec,YNmYsZui,4,Cc
242,351,"x ",740.21,1938-03-15,KS,ObZHps,2,dg
243,677,xA,28.74,1988-06-05,So,AHOZtKpj,3,SC
244,13,os,789.3,1992-02-14,yF,HtM,3,Jf
245,299,oh,512.25,1910-03-23,Aw,bcmXDRaP,3,"E "
246,290,Oi,175.42,1943-01-28,fO,iLWMLx lr,1,yo
247,631,ZJ,634.94,1920-09-05,wb,jiiEPpzTiZ,3,bL
248,811,kl,401.05,2005-07-05,dZ,MmsUHXtgtU,3,tN
249,62,OB,450.89,1974-02-02,ce,hXTXMxFq,5,"i "
250,333,nZ,85.35,1904-06-29,Yo,Wlq i,2,LJ
251,761,wt,689.74,1965-10-18,aF,mfCFOPUcU,3,Lm
252,920,PP,894.57,1922-01-03,ld,KhZXrYv,4,aD
253,418,WQ,940.48,2013-01-28,NV,SqPq,1,Rq
254,783,Qh,60.85,1941-12-28,ok,tlwACZkaWr,2,KO
255,209,sI,365.29,2018-01-18,xd,xhhwoKK,3,jd
256,516,vw,69.54,2012-08-07,Un,szkX J,2,id
257,45,Vu,28.31,1945-06-04,Dq,otutbohHfi,4,sY
258,872,Ef,286.26,1927-01-15,Eu,jka,2,hl
259,161,Ae,593.98,2005-07-02,pi,"pguIhMo ",5,kD
260,263,jW,646.35,1921-10-21,ER,cAeFAolirn,1,CY
261,39,hd,142.79,1921-01-18,pB,BHonWzt,2,qg
262,13,MZ,488.88,1931-02-02,Rz,XJapfLcyEX,2,CK
263,721,Kb,857.17,1940-02-03,Yz,EIQn,5,lj
264,881,AU,59.43,2004-04-24,TU,cbr,2,DS
265,67,fb,775.28,1964-07-11,"l ",Wdyh,3,ZD
266,596,uD,431.32,1909-06-06,yo,JZLXsL,3,YZ
267,904,jZ,567.16,1983-06-08,sS,TrTEGCxKrf,3,HJ
268,610,Ru,732.45,1949-04-20,CC,GJ,4,rN
269,333,zi,306.25,1932-12-06,KN,uNzWRqK,2,Wg
270,381,Id,904.81,1922-04-24,LL,TDk,3,In
271,976,UG,416.82,1980-03-26,nQ,QwIGBnrD,3,zV
272,756,ge,626.79,1911-01-04,eA,pkqWI,1,hq
273,774,hq,779.18,2000-03-15,ly,Ag,4,lV
274,484,ee,803.05,1953-05-25,Rc,Pn,4,fm
275,933,VP,635.08,1973-03-16,FT,TQXBqM,5,Dy
276,219,gT,692.94,1991-02-21,fL,BzeDUoRp,1,WP
277,800,Jc,655.02,1900-11-26,gJ,QAicsu,3,nm
278,685,XH,915.75,1960-06-06,iv,tUaBh,1,oC
279,589,OM,58.67,1935-05-14,Zg,hJDWvGSOf,5,RT
280,853,lW,458.02,1914-09-18,na,eV,1,Eq
281,922,im,792.46,1914-10-24,FU,sQHyAC,1,gg
282,124,ek,955.92,2002-11-27,mb,OxEUYYeBkN,2,GN
283,81,jm,908.53,1916-11-09,Op,SJaXy,5,tw
284,567,TP,184.62,1959-07-08,pX,ihBSxlrh,5,dJ
285,643,Ct,418.91,1904-03-07,aL,WVnH,2,Dc
286,981,RE,632.89,1925-04-24,Kt,WlAt,2,VA
287,735,Dd,265.24,1994-04-19,tJ,BYDHxLOe,3,Wu
288,673,Pc,670.98,1920-02-10,jP,jQS,4,Nb
289,635,"g ",468.5,1935-08-16,vn,vTgLBmF,2,ru
290,797,cs,173.14,1935-01-27,kk,oqLIIYEY,5,Wm
291,777,dS,545.61,1954-06-05,Mk,zJ,4,PY
292,87,AR,240.56,1953-05-06,Nv,DFUMoLOUeX,1,Ra
293,511,ox,311.44,1939-06-18,Nh,LFQDITAgF,1,fq
294,620,kx,284.57,1991-08-21,al,LWaoPQ,1,Mo
295,622,fp,282.43,1980-09-18,DI,UgviRyL,5,Es
296,532,oc,918.24,1966-04-05,kS,kgBYQpAXIS,2,GR
